date,AAPL,MSFT,NVDA,AMZN,TSLA,GOOGL,META,JPM,SPY
2021-08-09,-0.0003422171096524703,-0.003911477756655406,-0.0034922514887064915,-0.0009181548153357011,0.02075293960905606,0.008615443691585279,-0.005240591282395531,-0.0010799363750498225,-0.000813875728381726
2021-08-10,-0.003359667394599102,-0.006576512270574471,-0.017847370114077984,-0.006361004973165342,-0.005295892009324611,-0.0007744231598162486,-0.0013282246611501353,0.012192530446860342,0.0012431773269283135
2021-08-11,0.0017840840582546884,0.0017789284329800183,-0.011959341111101897,-0.008640868502137664,-0.003061037245157465,-0.003866917448668735,-0.003245127405583308,0.01185963070908675,0.0024817965361683763
2021-08-12,0.02056051242752377,0.009917500328336805,0.010403148123482307,0.0034538388189029033,0.020181504916966016,0.006691678347574492,0.007445274551885337,0.0039014734732420397,0.002992468333533074
2021-08-13,0.0014094885382967708,0.01043502595424361,0.014117363924580911,-0.0028889970825907705,-0.0070584091033222,0.0038810622246571195,0.0014603939856385507,-0.011250375805370633,0.0018181841249573095
2021-08-16,0.01345692817601405,0.005957971368932962,-0.011859173294542084,0.0015227871766333222,-0.04418754471286682,0.004216837754382171,0.009263653080127545,-0.006584973090286858,0.0023518871523535295
2021-08-17,-0.006173015409483821,-0.005172961270678794,-0.024970875614922644,-0.017438191452478862,-0.03027123516946714,-0.011986826023941683,-0.022372997690940487,-0.012154345022817587,-0.0065768132903881865
2021-08-18,-0.025831831151727186,-0.008050524272492242,-0.021716228515890848,-0.012646113476257194,0.03437259258571844,-0.00891183473441404,-0.008404587635964345,-0.009149382053507573,-0.011005332567218418
2021-08-19,0.0023203200250105777,0.020562351794360088,0.039038862005900773,-0.004216696494284563,-0.022783267048393844,0.0017038945047174049,-0.0009288799419362179,-0.008390955120075039,0.0015471260202363857
2021-08-20,0.01010558633070086,0.02525377218197132,0.050140981583579394,0.0038198497898503034,0.010031571629142592,0.012811972258918785,0.011896738048177515,0.0028479141669713027,0.007925586914016684
