date,AAPL,MSFT,NVDA,AMZN,TSLA,GOOGL,META,JPM,SPY
2021-08-06,146.13999938964844,289.4599914550781,20.365999221801758,167.2469940185547,233.03334045410156,135.73849487304688,363.510009765625,157.5,442.489990234375
2021-08-09,146.08999633789062,288.3299865722656,20.295000076293945,167.093505859375,237.9199981689453,136.91299438476562,361.6099853515625,157.3300018310547,442.1300048828125
2021-08-10,145.60000610351562,286.44000244140625,19.93600082397461,166.03399658203125,236.663330078125,136.8070068359375,361.1300048828125,159.25999450683594,442.67999267578125
2021-08-11,145.86000061035156,286.95001220703125,19.698999404907227,164.60549926757812,235.94000244140625,136.2790069580078,359.9599914550781,161.16000366210938,443.7799987792969
2021-08-12,148.88999938964844,289.80999755859375,19.905000686645508,165.1750030517578,240.75,137.19400024414062,362.6499938964844,161.7899932861328,445.1099853515625
2021-08-13,149.10000610351562,292.8500061035156,20.187999725341797,164.69850158691406,239.05667114257812,137.7274932861328,363.17999267578125,159.97999572753906,445.9200134277344
2021-08-16,151.1199951171875,294.6000061035156,19.950000762939453,164.94949340820312,228.72332763671875,138.3094940185547,366.55999755859375,158.92999267578125,446.9700012207031
2021-08-17,150.19000244140625,293.0799865722656,19.45800018310547,162.09800720214844,221.90333557128906,136.6614990234375,358.45001220703125,157.00999450683594,444.0400085449219
2021-08-18,146.36000061035156,290.7300109863281,19.040000915527344,160.06100463867188,229.663330078125,135.44900512695312,355.45001220703125,155.5800018310547,439.17999267578125
2021-08-19,146.6999969482422,296.7699890136719,19.79800033569336,159.3874969482422,224.49000549316406,135.67999267578125,355.1199951171875,154.27999877929688,439.8599853515625
2021-08-20,148.19000244140625,304.3599853515625,20.81599998474121,159.99749755859375,226.75332641601562,137.42950439453125,359.3699951171875,154.72000122070312,443.3599853515625
2021-08-23,149.7100067138672,304.6499938964844,21.95800018310547,163.2935028076172,235.43333435058594,140.04150390625,363.3500061035156,156.6999969482422,447.260009765625
2021-08-24,149.6199951171875,302.6199951171875,21.792999267578125,165.28900146484375,236.163330078125,141.26150512695312,365.510009765625,157.6699981689453,447.9700012207031
2021-08-25,148.36000061035156,302.010009765625,22.21299934387207,164.95899963378906,237.06666564941406,142.07899475097656,368.3900146484375,160.9199981689453,448.9100036621094
2021-08-26,147.5399932861328,299.0899963378906,22.06800079345703,165.8000030517578,233.72000122070312,141.4405059814453,364.3800048828125,161.75,446.260009765625
2021-08-27,148.60000610351562,299.7200012207031,22.63599967956543,167.48150634765625,237.30667114257812,144.00399780273438,372.6300048828125,163.0500030517578,450.25
2021-08-30,153.1199951171875,303.5899963378906,22.687999725341797,171.07850646972656,243.6366729736328,144.5904998779297,380.6600036621094,160.44000244140625,452.2300109863281
2021-08-31,151.8300018310547,301.8800048828125,22.385000228881836,173.5395050048828,245.24000549316406,144.69749450683594,379.3800048828125,159.9499969482422,451.55999755859375
2021-09-01,152.50999450683594,301.8299865722656,22.44099998474121,173.9499969482422,244.69667053222656,145.2154998779297,382.04998779296875,159.72000122070312,451.79998779296875
2021-09-02,153.64999389648438,301.1499938964844,22.395999908447266,173.156005859375,244.1300048828125,143.28700256347656,375.2799987792969,160.4600067138672,453.19000244140625
2021-09-03,154.3000030517578,301.1400146484375,22.843000411987305,173.90249633789062,244.52333068847656,143.739501953125,376.260009765625,159.49000549316406,453.0799865722656
2021-09-07,156.69000244140625,300.17999267578125,22.66200065612793,175.46449279785156,250.97332763671875,144.28050231933594,382.17999267578125,159.2100067138672,451.4599914550781
2021-09-08,155.11000061035156,300.2099914550781,22.339000701904297,176.27499389648438,251.2899932861328,143.6909942626953,377.57000732421875,158.5,450.9100036621094
2021-09-09,154.07000732421875,297.25,22.177000045776367,174.20799255371094,251.6199951171875,143.54100036621094,378.0,159.19000244140625,448.9800109863281
2021-09-10,148.97000122070312,295.7099914550781,22.47800064086914,173.45750427246094,245.42333984375,140.87600708007812,378.69000244140625,157.36000061035156,445.44000244140625
2021-09-13,149.5500030517578,296.989990234375,22.152000427246094,172.85850524902344,247.6666717529297,142.33250427246094,376.510009765625,159.86000061035156,446.5799865722656
2021-09-14,148.1199951171875,299.7900085449219,22.242000579833984,172.5,248.163330078125,142.54449462890625,376.5299987792969,157.07000732421875,444.1700134277344
2021-09-15,149.02999877929688,304.82000732421875,22.340999603271484,173.7895050048828,251.94332885742188,144.42950439453125,373.9200134277344,158.16000366210938,447.8800048828125
2021-09-16,148.7899932861328,305.2200012207031,22.242000579833984,174.41200256347656,252.3300018310547,143.61000061035156,373.05999755859375,158.08999633789062,447.1700134277344
2021-09-17,146.05999755859375,299.8699951171875,21.899999618530273,173.12600708007812,253.163330078125,140.8000030517578,364.7200012207031,157.67999267578125,441.3999938964844
2021-09-20,142.94000244140625,294.29998779296875,21.113000869750977,167.7864990234375,243.38999938964844,138.71949768066406,355.70001220703125,152.9600067138672,434.0400085449219
2021-09-21,143.42999267578125,294.79998779296875,21.246000289916992,167.18150329589844,246.4600067138672,139.0330047607422,357.4800109863281,152.97999572753906,433.6300048828125
2021-09-22,145.85000610351562,298.5799865722656,21.94099998474121,169.00250244140625,250.64666748046875,140.2834930419922,343.2099914550781,155.91000366210938,437.8599853515625
