symbol,ann_return,ann_volatility,sharpe,beta,alpha_annual,market_r2,max_drawdown,var_95_daily,cvar_95_daily,downside_dev,corr_to_market
AAPL,0.1518893999985205,0.2797491679761408,0.39996329857918755,1.1683404793715588,0.02178459923584293,0.5174354735915176,-0.3343370956600399,-0.027816591136569778,-0.04078719003742479,0.19418426086681156,0.719329878144595
MSFT,0.10482056237176675,0.2799549010980401,0.23153930192872965,1.124582268477171,-0.02041138376448569,0.47869762374926406,-0.37556466105038566,-0.0273258255798574,-0.039021099120833264,0.1919694177697142,0.6918797755024093
NVDA,0.47789678047719153,0.5152787419151187,0.8498250458570747,2.121943215036995,0.24160008093066682,0.5030811234364744,-0.6636205530533921,-0.049558477384482255,-0.06935424935176616,0.3443417471216252,0.7092821183679133
AMZN,0.09828948733191553,0.3627046655561997,0.16070785095231646,1.4884242469504885,-0.06745940480952181,0.4995766675709099,-0.5572582563532457,-0.03387332458569496,-0.05151227097022437,0.25207218739093784,0.7068073765679801
TSLA,0.06475404051172699,0.5957835126695086,0.041548716917009565,2.007760675723406,-0.1588274473390067,0.33690067779409993,-0.736322174421912,-0.05928771392753662,-0.0858274169011379,0.42252602127871114,0.5804314583084725
GOOGL,0.1975175455142981,0.32028193574366476,0.4918090217874981,1.2456908653236256,0.05879911137085891,0.44875637231849075,-0.44320051414405215,-0.03103349906811728,-0.04527364224068977,0.22076519765749894,0.6698928065881069
META,0.09698456602986684,0.4520510435146081,0.12605781326556184,1.5831047428575684,-0.0793078168778306,0.363830669998666,-0.767360915364464,-0.0408751837138032,-0.06476422790049209,0.3292557520524709,0.6031837779637861
JPM,0.16583434257377375,0.24490545175057002,0.5138078457393134,0.8802160243619425,0.06781468777303762,0.38320978844255416,-0.4064501117183539,-0.02450485627480884,-0.0366571408513626,0.17246815923846,0.6190394078267991
SPY,0.11135863479853053,0.17223740721503553,0.4143039305592917,0.9999999999999992,9.881323877234915e-17,1.0,-0.25360573583036894,-0.01684756692550604,-0.02502380750043883,0.12070201590929446,1.0
