,PC1_loading
AAPL,0.360083435754166
MSFT,0.37986585927437
NVDA,0.36860637700939664
AMZN,0.3956540220203321
TSLA,0.3152368256951663
GOOGL,0.37921404682472437
META,0.3535302839305557
JPM,0.25586690036187415
