date,AAPL,MSFT,NVDA,AMZN,TSLA,GOOGL,META,JPM
2025-10-13,0.2590520255500119,0.17408349067431794,0.29604915067017173,0.31063575917048303,0.4803159179025469,0.27782633726424155,0.32360518410848865,0.1650024636185094
2025-10-14,0.2589879815447581,0.1740970515966521,0.3106932529554228,0.31095806854141345,0.48179352047265933,0.2739371834443109,0.3232836711534297,0.17010379563104983
2025-10-15,0.25876178002769024,0.17295931456391994,0.3057724683761618,0.31066987703791826,0.4819820747535565,0.27644140332556827,0.3234060814073878,0.17165348981169878
2025-10-16,0.2594891958144239,0.1731241704612864,0.3033359452273371,0.3106447865638284,0.48357015481122767,0.27566768391895835,0.3228186441884301,0.1749696099278408
2025-10-17,0.26163909415259556,0.1721259028384703,0.3018017804964428,0.3085267919750669,0.4475421816982279,0.2754865748359459,0.3231035633055054,0.1751003262080033
2025-10-20,0.27173774075902474,0.17222727035060229,0.30188141563915594,0.3105588163294934,0.44432995969366135,0.2759900431749303,0.3258823927199804,0.17758662022014068
2025-10-21,0.27169922824972353,0.17218003148698088,0.30014734940901716,0.31495679683338423,0.4427788000510486,0.28179416120618955,0.3256118280191727,0.18127844074098462
2025-10-22,0.27270067139533555,0.17253275978863886,0.2999500784508697,0.31675495820221133,0.44195047892122336,0.2806958963236889,0.321339312144036,0.18225253518275453
2025-10-23,0.27115703371735417,0.17251939658433496,0.2975627717718569,0.31824344946440486,0.4426434727588284,0.2807084743116992,0.3209442904085509,0.1813540326668159
2025-10-24,0.27081235392399655,0.1532841095991404,0.3004398161843271,0.3176203320828937,0.44273593472116746,0.27822127503014116,0.2337618111358484,0.18445374417261756
2025-10-27,0.26645598820191535,0.15205360781572563,0.30105640951268653,0.26384507690706305,0.44604688453625646,0.28196972787785585,0.2279304225397472,0.17931115389713762
2025-10-28,0.266583524122751,0.1508362623474745,0.3084649945590994,0.26249133288398585,0.4455633504897721,0.27828072741032567,0.2162939742580469,0.17635034466175364
2025-10-29,0.266246232874249,0.1475724893261764,0.3126156614822469,0.26197872202488864,0.4453245727100754,0.2811350177427995,0.21363776655652994,0.1749918272737016
2025-10-30,0.24929511227896306,0.15950864325502206,0.31594107517555287,0.2589383947223979,0.4547555121410114,0.283842926707481,0.3246669556981934,0.17669593839409536
2025-10-31,0.24319339912478874,0.16177056104997586,0.3158397522759586,0.31967248755328026,0.4592769210364763,0.2841054417159201,0.3280092378111009,0.17362436473935747
2025-11-03,0.23043825613221247,0.1617176700274685,0.3178909423212511,0.3287970899755564,0.45976856432604896,0.2815133860668322,0.328176106740346,0.17390212432767674
2025-11-04,0.22904468402953673,0.1620508845342516,0.32943404611124216,0.3311154927082423,0.4727937039605207,0.28678701286561886,0.32929810996493164,0.1738945787414484
2025-11-05,0.22849901363991815,0.16163103568324036,0.3316025873263965,0.33112031546609927,0.4781440241089084,0.2890826497138143,0.3234346388890725,0.17316881989954105
2025-11-06,0.22697659747527488,0.1632609932934479,0.3402327116893644,0.33620704381349936,0.48501802051281895,0.2880576126350413,0.32650496308963617,0.17238516118228822
2025-11-07,0.22725505434775223,0.16300282605692604,0.3402126943436118,0.33165372996349335,0.4915892471579384,0.29322204012640607,0.32668279134909056,0.17083641711389064
2025-11-10,0.2267269760210185,0.16746358868081682,0.35827845778434775,0.3331174813386121,0.49419066329483563,0.30153676407763524,0.3288427335646103,0.16908821383680048
2025-11-11,0.22967078860288878,0.1674774405563318,0.3637774418187581,0.3331300321843841,0.4951454547882182,0.30111750865502473,0.32646226080667445,0.16939611884133257
2025-11-12,0.23031378183774837,0.16521567441282478,0.3557000175249122,0.33425908055834774,0.4957825002548566,0.30280240841547773,0.32880881073936963,0.1714604653076767
2025-11-13,0.2256142964364925,0.16747071077766712,0.36414078421934387,0.3369867594635668,0.5163491902428122,0.309118032921787,0.32894838198936716,0.1867097228509939
2025-11-14,0.22524507192233453,0.16967996903667742,0.3656263594090897,0.3375417213737285,0.5153707933398397,0.31025730317389627,0.3285458186867438,0.19108216964561459
2025-11-17,0.22861881488801422,0.16962049031382725,0.3664813568814744,0.33226731949213695,0.5020672205916883,0.3100559168578775,0.32513115219893796,0.18969308684528696
2025-11-18,0.22842453353879763,0.178301219544433,0.37079017960555966,0.3450971988833975,0.5029187558180538,0.3102114798539154,0.32518441736233916,0.18956976118029975
2025-11-19,0.22802015911604528,0.1801796384703913,0.3745702378417233,0.345014935647137,0.502375331634631,0.31320864632271334,0.32548577617815055,0.18969237777736836
2025-11-20,0.22911938901671816,0.18250294349596818,0.3804300859977635,0.34869412104447456,0.5045620062219239,0.31510997840627414,0.32535367157653755,0.19262518426168423
2025-11-21,0.23141329966682583,0.1836847640509457,0.3806151197895171,0.3496503168150248,0.5045748800402788,0.3194150743951861,0.3258662918854752,0.19222920762585619
2025-11-24,0.23288960482545268,0.1837478514789974,0.3762890558518386,0.3529008925430541,0.5150530839301928,0.33901519302772803,0.33253344633596515,0.19220934574993834
2025-11-25,0.23122373936507493,0.18432015918353953,0.3780448828767879,0.3526459292889084,0.513784215805808,0.338160759320251,0.34255516156353705,0.19490469185746104
2025-11-26,0.21992165069024164,0.1882236065577759,0.37895726122360135,0.352642590948894,0.5140452754380189,0.29575848824991163,0.3424098966641925,0.1973070889370837
2025-11-28,0.21988171517766855,0.1900354002046198,0.3808172188620216,0.34373155943630007,0.513774437358031,0.29589626428970134,0.34421596398435833,0.1983869427442881
2025-12-01,0.22130151965599756,0.18385820773115236,0.377665085527921,0.3425124777334065,0.5095534457775841,0.29900160093839234,0.34429971961029054,0.1891163560663354
2025-12-02,0.22084202746506298,0.18389497065342414,0.37772941645090397,0.341141777994096,0.5085802087252599,0.2984478866656699,0.34519640476313357,0.1889315385511497
2025-12-03,0.21869044939772195,0.19093250163471032,0.37744896292006813,0.34091727400049276,0.5139926876214679,0.2962994993201822,0.3431032521860348,0.18794669556041813
2025-12-04,0.20802789560576024,0.19127014113878513,0.371945704100081,0.33504466324067295,0.5146728515522991,0.29686048945616056,0.3497339256958102,0.1887742279738673
2025-12-05,0.2079060377833545,0.1915604093654383,0.37212888748572054,0.3350513069916791,0.5021399305029718,0.2971775826598671,0.3521153858200132,0.18608272926969105
2025-12-08,0.20617373351248838,0.1909938423763625,0.37362868976981295,0.33550746709770446,0.4879177343865588,0.30286280982857916,0.35209136500555444,0.18590530641119787
2025-12-09,0.20572896561785886,0.18963178317197865,0.3737052958359009,0.3343174876218853,0.48354227728108273,0.2918012756611974,0.35180913277396314,0.2100497951470556
2025-12-10,0.20570486895488635,0.19615709890892585,0.372342941030778,0.3353228300471651,0.4811308417777386,0.2918123405429819,0.34940477997858793,0.2199865022155924
2025-12-11,0.20598342079956317,0.1974203440992449,0.36956058973854505,0.33490383596312184,0.4813176906039442,0.29691669796020354,0.34968629015984,0.2244438017551527
2025-12-12,0.20547070137701526,0.19830869492348263,0.36946702019440864,0.3368797339251298,0.4819266531633952,0.29796732288394173,0.3498229396777248,0.22435898954978695
2025-12-15,0.1995798872089219,0.19455514979944386,0.36973895009985536,0.3384339552009771,0.48502616746931704,0.2979106389738656,0.35023080920457866,0.22433842057040546
2025-12-16,0.18099762155657506,0.194476734832558,0.3613438326885736,0.33676462966528403,0.48726784692989594,0.2974321863196253,0.3508630387506654,0.22571543446222972
2025-12-17,0.18181380026035937,0.1935900745370267,0.36534675668226047,0.33093753893461025,0.49576622020088623,0.30613042698106807,0.350729178294409,0.22574508179035513
2025-12-18,0.18073929705901015,0.19680608660066257,0.36711249427348214,0.3346678023843241,0.4942246635039462,0.3048074008897696,0.3540332976209756,0.22608413334228725
