,0
ann_return,0.1697483406011325
ann_volatility,0.27811934847953385
sharpe,0.4665203672828263
beta,1.452507814762845
alpha_annual,0.00799905331494518
max_drawdown,-0.4868026044150543
var_95_daily,-0.029127721551223392
cvar_95_daily,-0.04041630483925796
wavg_standalone_vol,0.3813386775279814
diversification_ratio,1.3711332189318832
avg_pairwise_corr,0.45588091315608453
hhi,0.125
effective_n,8.0
bench_ann_return,0.11135863479853053
bench_ann_vol,0.17223740721503553
bench_sharpe,0.4143039305592917
bench_max_dd,-0.25360573583036894
