Date,AAPL_adj_close,AAPL_volume,AAPL_log_return,MSFT_adj_close,MSFT_volume,MSFT_log_return,NVDA_adj_close,NVDA_volume,NVDA_log_return,AMZN_adj_close,AMZN_volume,AMZN_log_return,TSLA_adj_close,TSLA_volume,TSLA_log_return,GOOGL_adj_close,GOOGL_volume,GOOGL_log_return,META_adj_close,META_volume,META_log_return,SPY_adj_close,SPY_volume,SPY_log_return
2023-07-11,185.47972106933594,46638100,-0.0028139976701678305,324.7851867675781,26698200,0.0019270500779889294,42.37187957763672,298244000,0.005320074732029866,128.77999877929688,49951500,0.01289534927354112,269.7900085449219,91972400,0.0006674942605875906,116.11042022705078,23078800,0.005907752932829992,295.6933898925781,27585900,0.014146348938832192,426.2653503417969,64463800,0.00634834895583935
2023-07-12,187.14634704589844,60750200,0.008945359612224688,329.4058837890625,29995300,0.014126679719655807,43.867698669433594,481277000,0.03469333114199608,130.8000030517578,54022800,0.015563949723523061,271.989990234375,95672100,0.008121354742896705,117.88469696044922,30404400,0.015165365498534917,306.64715576171875,36677100,0.036374684326444105,429.6950378417969,91924500,0.008013702273391704
2023-07-13,187.9056854248047,41342300,0.004049248374627782,334.7395935058594,20567200,0.01606221700246434,45.94109344482422,478204000,0.046181742717582124,134.3000030517578,61170900,0.026406663898050423,277.8999938964844,112681500,0.021496049775542363,123.44538879394531,44297900,0.046091859924230504,310.6817321777344,30281000,0.013071262141173429,433.10546875,72425200,0.007905532377560871
2023-07-14,188.05364990234375,41616200,0.0007871302626381235,337.25994873046875,28352700,0.007501097497280413,45.43349075317383,772075000,-0.011110483681104646,134.67999267578125,54487100,0.0028254136578632553,281.3800048828125,120062400,0.012444771516691934,124.31765747070312,33283100,0.007041181432830107,306.1812438964844,23054100,-0.014591792048926907,432.8357238769531,69815800,-0.0006230097010479354
2023-07-17,191.30799865722656,50520200,0.017157393745022186,337.73870849609375,20363900,0.0014185505134945466,46.42470169067383,510488000,0.021582166718101446,133.55999755859375,48450200,-0.008350743114511814,290.3800048828125,131569600,0.03148434056863512,123.5544204711914,25716200,-0.0061583331047095876,307.9159851074219,25323100,0.005649743211192998,434.3386535644531,52680200,0.003466272139515311
2023-07-18,191.05160522460938,48288200,-0.00134111170972507,351.18060302734375,64738600,0.039028084938044987,47.4568977355957,569164000,0.021990201396766038,132.8300018310547,54882900,-0.005480667866621604,293.3399963378906,112120300,0.010141906463636843,122.6722412109375,26193600,-0.007165617475600595,309.33355712890625,20731900,0.004593197456613578,437.5660095214844,80668200,0.007403035752056122
2023-07-19,192.40264892578125,80507300,0.007046729966916058,346.8725280761719,39732900,-0.01234327146732785,47.04022979736328,427502000,-0.008818694270196407,135.36000061035156,54531000,0.01886777143765127,291.260009765625,142355400,-0.00711596075110357,120.95744323730469,37224000,-0.014077318172530518,313.2591247558594,21763700,0.012610555065440742,438.5390319824219,65891700,0.0022212470306907173
2023-07-20,190.4599151611328,59581200,-0.010148552618461171,338.852294921875,33778400,-0.02339305397142033,45.48444747924805,537865000,-0.0336327348440622,129.9600067138672,59820600,-0.04071113790508541,262.8999938964844,175158300,-0.1024426640636013,118.1523208618164,37906800,-0.02346412815998896,299.88653564453125,23836900,-0.04362653406351559,435.62957763671875,70591600,-0.006656530689148631
2023-07-21,189.286376953125,71951700,-0.006180663080570296,335.82391357421875,69405400,-0.00897734838815936,44.27439498901367,963769000,-0.026963935151285208,130.0,133307300,0.000307687993656272,260.0199890136719,161796100,-0.011015199637560409,118.96510314941406,72937900,0.006855552469725827,291.69842529296875,42139300,-0.02768371011629553,435.62957763671875,71275600,0.0
2023-07-24,190.08514404296875,45377800,0.004211008080400121,337.1329345703125,26678100,0.0038903613231535774,44.577152252197266,382516000,0.006814927693112734,128.8000030517578,45591100,-0.009273613091557636,269.05999755859375,136508500,0.03417588510139735,120.46183013916016,29686100,0.012502741160472189,289.07147216796875,24915700,-0.009046512404125781,437.57568359375,54023400,0.00445739224348376
