Date,adj_close,volume,log_return
2023-07-11,295.6933898925781,27585900,0.014146348938832192
2023-07-12,306.64715576171875,36677100,0.036374684326444105
2023-07-13,310.6817321777344,30281000,0.013071262141173429
2023-07-14,306.1812438964844,23054100,-0.014591792048926907
2023-07-17,307.9159851074219,25323100,0.005649743211192998
2023-07-18,309.33355712890625,20731900,0.004593197456613578
2023-07-19,313.2591247558594,21763700,0.012610555065440742
2023-07-20,299.88653564453125,23836900,-0.04362653406351559
2023-07-21,291.69842529296875,42139300,-0.02768371011629553
2023-07-24,289.07147216796875,24915700,-0.009046512404125781
2023-07-25,291.90655517578125,19585600,0.00975976845437015
2023-07-26,295.9709167480469,47256900,0.013827460736455202
2023-07-27,308.99652099609375,64229200,0.04306882265481949
2023-07-28,322.6466369628906,39220300,0.04322770323142495
2023-07-31,315.8265380859375,25799600,-0.021364588391640692
2023-08-01,319.9007568359375,22817900,0.012817680042477327
2023-08-02,311.5738830566406,20461100,-0.026374317928138328
2023-08-03,310.4636535644531,15180200,-0.0035696581178659144
2023-08-04,308.02508544921875,17612800,-0.007885610837597961
2023-08-07,313.8043212890625,16236500,0.018588385121722922
2023-08-08,309.91845703125,15183500,-0.01246038999948456
2023-08-09,302.5531311035156,19955800,-0.024052318983326142
2023-08-10,303.0784912109375,14358900,0.0017349168036808263
2023-08-11,299.01422119140625,14046300,-0.013500684090607529
2023-08-14,303.52459716796875,15641900,0.014971517477384575
2023-08-15,299.3215026855469,11623600,-0.013944396719278607
2023-08-16,291.7281494140625,18547700,-0.025695882064994856
2023-08-17,282.6082763671875,23950100,-0.03176061713612136
2023-08-18,280.7842712402344,35347900,-0.006475099848601859
2023-08-21,287.3763427734375,20181500,0.023205999139197898
2023-08-22,285.096435546875,12980200,-0.00796516224604624
2023-08-23,291.6786193847656,18287000,0.02282508422335476
2023-08-24,284.2538146972656,18360900,-0.025785024837937244
2023-08-25,283.0147399902344,23701400,-0.0043685717016281635
2023-08-28,287.7332763671875,14239300,0.016534946235341845
2023-08-29,295.39593505859375,20844500,0.026282681905560473
2023-08-30,292.5311279296875,17717000,-0.009745527916809894
2023-08-31,293.31427001953125,17229900,0.002673546840402355
2023-09-01,293.7999572753906,12842300,0.001654490196526088
2023-09-05,297.5371398925781,14956000,0.012639938849835724
2023-09-06,296.565673828125,15418100,-0.0032703663671008578
2023-09-07,296.0700988769531,33748700,-0.001672443985022765
2023-09-08,295.2968444824219,17548000,-0.002615143926806946
2023-09-11,304.8826904296875,19489300,0.03194597818962127
2023-09-12,299.03399658203125,13480400,-0.019369813209094016
2023-09-13,302.4044189453125,13210900,0.011207989242531151
2023-09-14,309.0064392089844,19343100,0.021596858431642864
2023-09-15,297.69573974609375,28131100,-0.03729015818596526
2023-09-18,299.9162902832031,14234200,0.0074314459714166945
2023-09-19,302.4143371582031,15924400,0.008294651088847263
2023-09-20,297.06134033203125,19379500,-0.017859403836788506
2023-09-21,293.1556396484375,21319600,-0.013234989258952185
2023-09-22,296.4764709472656,25369600,0.01126419796999087
2023-09-25,298.2112121582031,18987000,0.005834141788022611
2023-09-26,296.35748291015625,19417200,-0.0062355629209822775
2023-09-27,295.14813232421875,36429800,-0.004089064380331929
2023-09-28,301.3139953613281,22167100,0.02067552119902209
2023-09-29,297.5965881347656,25373700,-0.012414056686629732
2023-10-02,304.1491394042969,16265600,0.02177933295963743
2023-10-03,298.3203125,17362300,-0.0193503878490659
2023-10-04,302.91986083984375,16880500,0.015300501446913453
2023-10-05,302.13677978515625,19130000,-0.0025884568132527766
2023-10-06,312.6841125488281,21803900,0.03431362780947095
2023-10-09,315.588623046875,22503700,0.009246083828534455
2023-10-10,319.038330078125,19038000,0.010871712876756624
2023-10-11,324.9663391113281,22036300,0.01841035244935664
2023-10-12,321.33819580078125,20530500,-0.011227467012593337
2023-10-13,311.9505920410156,21341000,-0.029649321561555274
2023-10-16,318.35430908203125,16536100,0.02032012561959979
2023-10-17,321.1795349121094,16387800,0.008835323526261275
2023-10-18,314.210693359375,16851000,-0.02193650672279168
2023-10-19,310.0869445800781,18709200,-0.013211034306371737
2023-10-20,305.96319580078125,22312300,-0.013387904985297908
2023-10-23,311.2765197753906,17796800,0.017216828688997043
2023-10-24,309.8292541503906,19525500,-0.004660295573179989
2023-10-25,296.9225769042969,42192500,-0.042549931678865824
2023-10-26,285.8398742675781,66684100,-0.038039647149725325
2023-10-27,294.1468811035156,29596300,0.02864746432742028
2023-10-30,300.0252990722656,28435100,0.01978756316894749
2023-10-31,298.6473693847656,19434200,-0.004603290557016001
2023-11-01,309.1352844238281,20434600,0.03451548397017636
2023-11-02,308.16387939453125,21631800,-0.0031472773270276775
2023-11-03,311.86138916015625,16764300,0.01192710615437756
2023-11-06,313.0509033203125,12887700,0.003806984151592779
2023-11-07,316.0446472167969,14055600,0.009517684533764429
2023-11-08,316.99627685546875,13609700,0.0030065366055196524
2023-11-09,317.759521484375,16103100,0.0024048460801487205
2023-11-10,325.90802001953125,19096200,0.025320319423324467
2023-11-13,326.3243713378906,16908900,0.0012766964058488792
2023-11-14,333.3823547363281,17179400,0.02139815292793036
2023-11-15,329.813720703125,14531200,-0.010762031347758624
2023-11-16,331.28082275390625,18932600,0.004438410432306436
2023-11-17,332.1233825683594,14494400,0.0025401113249553567
2023-11-20,337.0105285644531,16960500,0.01460763777572355
2023-11-21,334.0466003417969,12027900,-0.00883366666951605
2023-11-22,338.5172424316406,10702700,0.013294523588851524
2023-11-24,335.28570556640625,5467500,-0.00959200802458909
2023-11-27,331.7864074707031,15684500,-0.010491609904527159
2023-11-28,336.0390319824219,12637200,0.012735908945159304
2023-11-29,329.3081359863281,16024500,-0.020233423841001345
2023-11-30,324.30206298828125,23146400,-0.015318521339060417
2023-12-01,321.99237060546875,15276400,-0.007147523158804289
2023-12-04,317.23419189453125,19037100,-0.014887574682493097
2023-12-05,315.5192565917969,16952100,-0.005420561534428743
2023-12-06,314.6865234375,11294300,-0.0026427356439428255
2023-12-07,323.7470397949219,15905100,0.02838548985035113
2023-12-08,329.8533630371094,14087400,0.018685731791480496
2023-12-11,322.4483337402344,25802500,-0.022705283327912506
2023-12-12,331.31060791015625,18485500,0.02711340989498018
2023-12-13,331.8260498046875,16353300,0.0015545573972972162
2023-12-14,330.2696838378906,19607300,-0.004701340771004545
2023-12-15,332.0045471191406,31776900,0.005239120498489676
2023-12-18,341.62005615234375,18993900,0.028550507615987958
2023-12-19,347.3100891113281,17729400,0.01651883688080151
2023-12-20,346.23944091796875,16369900,-0.003087447968699377
2023-12-21,351.0075988769531,15289600,0.013677310960836237
2023-12-22,350.313720703125,11772800,-0.0019787745812519923
2023-12-26,351.7411193847656,9898600,0.004066350851801677
2023-12-27,354.71502685546875,13207900,0.008419277129762167
2023-12-28,355.20086669921875,11798800,0.0013687252926972183
2023-12-29,350.8787536621094,14987100,-0.012242718517924864
2024-01-02,343.2755126953125,19042200,-0.02190736388092251
2024-01-03,341.4713439941406,15451100,-0.005269605427180575
2024-01-04,344.0982666015625,12099900,0.0076635119855907605
2024-01-05,348.8862609863281,13920700,0.013818694026735108
2024-01-08,355.5378112792969,13890200,0.018885635096365715
2024-01-09,354.3185119628906,13463900,-0.0034353445214840577
2024-01-10,367.2450256347656,22117200,0.035833010152519836
2024-01-11,366.4519958496094,17205400,-0.0021617372587337067
2024-01-12,371.2300109863281,19310000,0.012954313404694712
2024-01-16,364.2611999511719,15306900,-0.018950653625169272
2024-01-17,365.1632995605469,12724800,0.002473457005895683
2024-01-18,372.85577392578125,16354300,0.020847030204254668
2024-01-19,380.1120300292969,21670800,0.0192743453460802
2024-01-22,378.4565734863281,17680500,-0.004364692035517695
2024-01-23,381.8468322753906,15506100,0.008918232467871766
2024-01-24,387.2989196777344,15698500,0.014177231579016646
2024-01-25,389.7572937011719,15091100,0.00632742440796855
2024-01-26,390.7089538574219,13163700,0.00243869771658495
2024-01-29,397.52911376953125,18742400,0.017305254326540155
2024-01-30,396.5774230957031,18614700,-0.002396885267338361
2024-01-31,386.7438049316406,20180800,-0.025108817283889567
2024-02-01,391.3433532714844,29727100,0.011822844955529174
2024-02-02,470.85516357421875,84707600,0.1849652223869327
2024-02-05,455.4107971191406,40832400,-0.03335067595343735
2024-02-06,450.7616271972656,21655200,-0.010261205462764057
2024-02-07,465.50213623046875,23066000,0.03217802884124311
2024-02-08,465.9085693359375,18815100,0.0008727259174420266
2024-02-09,464.0350646972656,18413100,-0.004029291894330217
2024-02-12,464.818115234375,19382000,0.001686059195429326
2024-02-13,456.1145935058594,20916600,-0.018902099543247054
2024-02-14,469.1600341796875,16858400,0.02819985501486781
2024-02-15,479.81646728515625,24212300,0.022459736454943414
2024-02-16,469.19970703125,23324600,-0.022375178582639557
2024-02-20,467.64337158203125,18015500,-0.0033225134848272595
2024-02-21,464.447998046875,12921800,-0.006856379443311889
2024-02-22,482.40948486328125,21625800,0.03794370759199597
2024-02-23,480.3255615234375,18374300,-0.004329179876373917
2024-02-26,478.0530090332031,12101400,-0.004742503264254379
2024-02-27,483.3223876953125,10809600,0.010962276440674502
2024-02-28,480.3156433105469,12715500,-0.0062404223279267056
2024-02-29,486.3788757324219,17732000,0.012544421867893216
2024-03-01,498.4556884765625,16273600,0.024526795852525273
2024-03-04,494.377197265625,12324100,-0.008215912690665956
2024-03-05,486.4682312011719,15325300,-0.01612718426741961
2024-03-06,492.2933044433594,11757900,0.011903087332871874
2024-03-07,508.2701110839844,18586400,0.03193833489081391
2024-03-08,502.07781982421875,18597100,-0.012257893752951167
2024-03-11,479.88897705078125,20428300,-0.04520034790999404
2024-03-12,495.92523193359375,15448200,0.03287039395523235
2024-03-13,491.7772216796875,12090700,-0.008399360810113365
2024-03-14,488.0658874511719,12620000,-0.007575400474518102
2024-03-15,480.39501953125,29153600,-0.015841689193228505
2024-03-18,493.176513671875,11755300,0.026258427049110546
2024-03-19,492.44207763671875,10903100,-0.001490305027857855
2024-03-20,501.6510925292969,11711100,0.018527998404642473
2024-03-21,503.8739318847656,9712500,0.00442125839221224
2024-03-22,505.67999267578125,8120600,0.003577942047062971
2024-03-25,499.17022705078125,8380600,-0.012956869728096202
2024-03-26,492.0947570800781,11205400,-0.014275880312691962
2024-03-27,490.0802917480469,9989700,-0.004102055248082451
2024-03-28,481.8636779785156,15212800,-0.016907990114137426
2024-04-01,487.5895080566406,9247000,0.011812631577230866
2024-04-02,493.5634765625,11081000,0.012177596000944873
2024-04-03,502.8617248535156,12099200,0.01866375556461053
2024-04-04,507.009765625,26476300,0.008215033573531245
2024-04-05,523.3040771484375,19263300,0.03163243958011306
2024-04-08,515.2760009765625,13260600,-0.015460023239594717
2024-04-09,512.944091796875,10863800,-0.004535824954359216
2024-04-10,515.8515625,11418500,0.005652198143479099
2024-04-11,519.1559448242188,10369500,0.006385255233175231
2024-04-12,507.9822692871094,11984500,-0.02175776576503815
2024-04-15,496.4015808105469,13512900,-0.023061306115993413
2024-04-16,495.9351806640625,9847900,-0.0009400038352588469
2024-04-17,490.387939453125,12193700,-0.011248443005211934
2024-04-18,497.9595031738281,14808700,0.015321963755270413
2024-04-19,477.3882141113281,25215400,-0.042188728849604916
2024-04-22,478.04315185546875,17271100,0.0013709783246689266
2024-04-23,492.3031921386719,15079200,0.029393766611026943
2024-04-24,489.7231140136719,37772700,-0.005254612927105278
2024-04-25,438.001953125,82890700,-0.11161678839301789
2024-04-26,439.8973388671875,32691400,0.004318009376390783
2024-04-29,429.30902099609375,21502600,-0.024364390654323904
2024-04-30,426.8777770996094,18429500,-0.005679252323553476
2024-05-01,435.8287048339844,20344900,0.020751551376278245
2024-05-02,438.2996826171875,15221300,0.005653595971388689
2024-05-03,448.50091552734375,16489100,0.023007839504158783
2024-05-06,462.1159973144531,15094600,0.02990521319919411
2024-05-07,464.6563720703125,13406800,0.005482211602936675
2024-05-08,468.9830322265625,11683900,0.009268441561943602
2024-05-09,471.7814636230469,9437700,0.005949288398544804
2024-05-10,472.5555114746094,10750000,0.0016393470664096445
2024-05-13,464.42816162109375,14668800,-0.01734833577792194
2024-05-14,468.23876953125,10478600,0.008171468262953917
2024-05-15,477.8546142578125,13100500,0.020328174834403356
2024-05-16,469.60821533203125,16608200,-0.017407769275306878
2024-05-17,468.2983093261719,10807300,-0.0027932567331798303
2024-05-20,465.2518615722656,11745100,-0.006526609201945932
2024-05-21,461.07403564453125,11742200,-0.009020268714791176
2024-05-22,464.1999206542969,10078600,0.006756694880746645
2024-05-23,462.2152099609375,11747900,-0.004284717863902918
2024-05-24,474.56005859375,12024300,0.026357577372769347
2024-05-28,476.24700927734375,10175800,0.003548464269386919
2024-05-29,470.72955322265625,9226200,-0.011652914565879679
2024-05-30,463.4754638671875,10719600,-0.015530285158357623
2024-05-31,463.2571716308594,16919800,-0.0004711007943473599
2024-06-03,473.83563232421875,11279400,0.022578148138930755
2024-06-04,473.3394470214844,7088700,-0.0010477162225722143
2024-06-05,491.2710876464844,15690500,0.037183310682637985
2024-06-06,489.9811096191406,10667300,-0.0026292502051328552
2024-06-07,489.18719482421875,9380700,-0.0016216108411470959
2024-06-10,498.75341796875,11220900,0.019366593528053186
2024-06-11,503.586181640625,9673700,0.009643041386144096
2024-06-12,504.9456481933594,11983200,0.0026959335063290236
2024-06-13,500.2419738769531,9954600,-0.009358867032088528
2024-06-14,500.7982177734375,10243300,0.0011113319092948956
2024-06-17,503.2517395019531,11266600,0.004887260029900592
2024-06-18,496.15936279296875,13060400,-0.014193349976344733
2024-06-20,498.3546447753906,11801200,0.0044147906038264715
2024-06-21,491.4807434082031,22359200,-0.013889202088645768
2024-06-24,495.583251953125,13525300,0.008312596118450475
2024-06-25,507.1952819824219,12063200,0.023160745286987888
2024-06-26,509.6985168457031,8882300,0.004923306489780247
2024-06-27,516.095458984375,10121200,0.012472338918870023
2024-06-28,500.85784912109375,15855100,-0.0299694198678299
2024-07-01,501.31475830078125,10328200,0.0009118373580792946
2024-07-02,506.1026306152344,7739500,0.009505312130102788
2024-07-03,506.55950927734375,6005600,0.0009023319330514776
2024-07-05,536.3097534179688,21354100,0.05707008436313748
2024-07-08,525.7904663085938,14917500,-0.019809111971233823
2024-07-09,526.4658813476562,8753200,0.0012837463671740252
2024-07-10,531.1246948242188,10983300,0.008810297135331975
2024-07-11,509.2812805175781,16458300,-0.04199634595198595
2024-07-12,495.5434875488281,19750500,-0.02734536299767831
2024-07-15,492.8515319824219,12539200,-0.005447138379622976
2024-07-16,486.5240478515625,14075800,-0.012921645795562094
2024-07-17,458.90936279296875,28076600,-0.05843360684678804
2024-07-18,472.677001953125,19267200,0.029559560214751278
2024-07-19,473.6107482910156,15149400,0.0019734940893046597
2024-07-22,484.14996337890625,12023100,0.02200892223405908
2024-07-23,485.4313659667969,9455500,0.002643209589864122
2024-07-24,458.1942138671875,17649700,-0.05774476803112696
2024-07-25,450.3866271972656,18240500,-0.01718675653906038
2024-07-26,462.5946960449219,14222400,0.02674489876242397
2024-07-29,462.6046142578125,11339600,2.144016490407469e-05
2024-07-30,460.1014099121094,11390400,-0.005425802847680097
2024-07-31,471.663818359375,24285800,0.024819561060061338
2024-08-01,494.42108154296875,43083100,0.047121063318789735
2024-08-02,484.8850402832031,24044700,-0.019475713398298122
2024-08-05,472.5578308105469,21396200,-0.025751699803250906
2024-08-06,490.79534912109375,20955000,0.037867103979277464
2024-08-07,485.65985107421875,20105300,-0.010518752722771602
2024-08-08,506.23175048828125,16156800,0.041486085402083955
2024-08-09,514.3174438476562,13696600,0.015846100503408782
2024-08-12,512.5095825195312,9767400,-0.003521261419337253
2024-08-13,525.015625,13743800,0.024108615616658283
