model,n,corr_vol_correlation,b_corr_only,p_corr_only,r2_corr_only,b_vol_only,p_vol_only,r2_vol_only,b_corr_joint,p_corr_joint,b_vol_joint,p_vol_joint,r2_joint
RandomWalk,2620,0.6417894308223158,0.0017590143720668638,0.018687040358322055,0.04160399950393867,0.002922351589349172,3.808851485699046e-05,0.11483155252708732,-0.00019812742335334,0.7238940691727416,0.0030495076756134032,3.0113084761199603e-06,0.1151419665564174
LinearRegression,2620,0.6417894308223158,0.0018951433140270595,0.016777218356208972,0.044615353884390974,0.0030931955777679454,5.295753702801453e-05,0.11885432448268007,-0.00015309632152556282,0.7938775740938664,0.0031914511788208285,5.942812487211888e-06,0.11902555674318538
Ridge,2620,0.6417894308223158,0.001770640610117507,0.01775925932444943,0.04192226099914376,0.002914107343301091,4.0242853691483836e-05,0.1135520415322192,-0.00016936169296149443,0.7634753036695958,0.003022801887829953,3.6107024158252087e-06,0.11377760568417872
Lasso,2620,0.6417894308223158,0.001780106256497625,0.017690874176246634,0.042189674799205656,0.0029325142728639183,4.0930822695522075e-05,0.114497128154886,-0.00017335370318392234,0.7578271821802143,0.003043770847361271,3.6927987951644087e-06,0.11473243600878613
AR1,2624,0.6414950177714321,0.0017317877023162137,0.014475158644324337,0.0405312498400453,0.002840891017778603,2.0774345272827796e-05,0.10907113706714222,-0.00015400539305187536,0.7821666875054488,0.0029396847101313154,3.444747400733303e-06,0.10925976556958239
