component,explained_variance_ratio,cumulative
PC1,0.6934555715670156,0.6934555715670156
PC2,0.15607797727756417,0.8495335488445799
PC3,0.09001772014999385,0.9395512689945738
PC4,0.06044873100542638,1.0000000000000002
