model,alpha,mae_high,mae_low,high_low_ratio
Ridge,0.1,0.009096500816449813,0.005337664608157691,1.7042098903230816
Ridge,1.0,0.009133376273299753,0.005328518171773312,1.714055573964609
Ridge,10.0,0.009152036276430757,0.005328424847599458,1.7175875682198838
Lasso,0.0001,0.009122901464618558,0.005328423010078253,1.7121203491846229
Lasso,0.0005,0.009154507677314275,0.005328423010078253,1.7180519752278136
Lasso,0.001,0.009154507677314275,0.005328423010078253,1.7180519752278136
