Date,XLK-XLV,XLK-XLE,XLK-XLF,XLV-XLE,XLV-XLF,XLE-XLF
2015-05-13,0.7230695897593654,0.4561869983391985,0.7727859056670974,0.4167732895541785,0.7244197012953364,0.576850057690252
2015-05-14,0.7310530690308872,0.41934919588827296,0.7661626440508319,0.4139491805428093,0.735010855740008,0.538627624500958
2015-05-15,0.7313308555840585,0.406425312716232,0.7608298558226502,0.41174865828870866,0.7376429917199856,0.5257160606242526
2015-05-18,0.7363476745928773,0.40663961609535315,0.759331048858399,0.4218039693792094,0.7372924327075915,0.5272014914069738
2015-05-19,0.7220502426057023,0.38210948557686863,0.7462703728227735,0.3923382950790984,0.7293031996880325,0.49892773433460846
2015-05-20,0.7223823351721264,0.38028930732498717,0.7496407250754494,0.38780737756573946,0.7243634132407127,0.49441443652646266
2015-05-21,0.7285943978636701,0.3605616390740116,0.7435609974923167,0.398023775452542,0.7279088272610396,0.4815639067248122
2015-05-22,0.7290067891502722,0.36065814387418194,0.7435512375267,0.3960872720157919,0.7267150028053874,0.47953240490006405
2015-05-26,0.7345518553422699,0.37968722960064766,0.7506181727190386,0.40801616392155293,0.73924121333926,0.5022868092646715
2015-05-27,0.7333308635960464,0.3550743283723291,0.7482269305549558,0.3922825701707142,0.7378691515959999,0.4859800959319328
2015-05-28,0.7315523197079963,0.34301629708662357,0.745330864768818,0.3564309045562616,0.7316283790554134,0.4705124737676255
2015-05-29,0.7350659198009363,0.34366902949488615,0.7577362800978787,0.3567824989163319,0.7313938793120135,0.47016771004287194
2015-06-01,0.7351814631374486,0.3463359326847192,0.7575883524484042,0.3584281953102241,0.7308791981622013,0.4732012752132425
2015-06-02,0.7291353160900157,0.3423239005020111,0.7482914373662337,0.3493549295819014,0.7264523514257718,0.4837767199276106
2015-06-03,0.7306460012309696,0.3405145315647853,0.7527754112996129,0.3441726044107152,0.7226981064361129,0.4694340620348711
2015-06-04,0.7385687346923109,0.36056221617935685,0.7620607638148466,0.3476492985685131,0.7244889455936542,0.4746355943805592
2015-06-05,0.7574072406770668,0.37883324298078136,0.7606683224645194,0.3471509967699103,0.7192841871639029,0.48137953663278915
2015-06-08,0.7647968964530155,0.3987656297255461,0.7797325797557231,0.3088059562878365,0.7092250233402201,0.4348498032436951
2015-06-09,0.7622081825592082,0.3981300773028003,0.7755890558706319,0.30765344659103594,0.7058720015646949,0.43411690112382884
2015-06-10,0.7603178744930283,0.42987570345733545,0.7763262433618537,0.3428507602490986,0.6990230251344502,0.47769311632490136
