Date,XLK,XLV,XLE,XLF,SPY
2015-01-05,-0.015383018746269236,-0.00511294171326743,-0.042247972155417736,-0.021250850002507805,-0.018224476696377008
2015-01-06,-0.012130405719448819,-0.0033743238267641526,-0.014799832087209655,-0.015401609298425828,-0.00946319431906644
2015-01-07,0.008432525150236318,0.023239810863317653,0.0021274714703622957,0.01043223657346711,0.012383489485419669
2015-01-08,0.021742685736465227,0.016941105463113695,0.022201563719657175,0.014833516061321765,0.017589691625834826
2015-01-09,-0.003147066104567842,-0.00893250451961886,-0.00795650671224678,-0.013588840818301383,-0.008045742766405184
2015-01-12,-0.01170436728149695,0.00042705021337685145,-0.029234012131766216,-0.008326420572992968,-0.007864482115648243
2015-01-13,-0.0007358712000013188,-0.0044233991092189,-0.007987784059909006,-0.0033504912434944856,-0.002816636404051859
2015-01-14,-0.0056619622531711355,-0.0015744610320714218,0.0031214065529652953,-0.0143638886662695,-0.006055591238675002
2015-01-15,-0.0129189180431585,-0.0108001128274271,-0.01281894128482547,-0.012417549786928586,-0.009202603172242151
2015-01-16,0.009705124928691612,0.018647093150375518,0.03201018659575959,0.011991721835337596,0.013028584672896262
2015-01-20,0.008384695400845597,0.0,0.0011957020048197003,-0.004266237935253664,0.0021304937983231535
2015-01-21,0.0017174958650469608,0.0019873184671166805,0.020109725893249192,0.002561913873477821,0.005035261396033726
2015-01-22,0.01629228242131142,0.011842966237947068,0.004673308572100972,0.024432812201308506,0.014761714044921138
2015-01-23,-0.00024128844365379232,-0.005762810353353082,-0.007148483354941106,-0.01087898729672446,-0.005497811609219924
2015-01-26,-0.004109781929349809,0.00520188770840262,0.014246839236559235,0.005035557627556192,0.0023387036943214863
2015-01-27,-0.029251350278960506,-0.007177666183769551,-0.0006432061753232568,-0.010942787480900813,-0.013278150490386937
2015-01-28,-0.0017471846882901258,-0.014511828629185637,-0.0401734243045481,-0.018364830316400363,-0.012907164039983432
2015-01-29,0.009450109811859392,0.008420132752841984,0.0033433418483515697,0.008156321391682902,0.00920087431739402
2015-01-30,-0.012453136497372225,-0.015755360679755977,0.008641049128228613,-0.01637927495666897,-0.012654657474992635
2015-02-02,0.010222992967330353,0.005614455656467794,0.030117259523144316,0.01595156783272924,0.012308420887574155
2015-02-03,0.011346791938872197,0.00672460548106346,0.026989864144424298,0.016543445902001484,0.014357307598352026
2015-02-04,0.0019602837494016256,-0.012627838501963353,-0.016640105620880145,-0.0025271363039625814,-0.0038152110742238005
2015-02-05,0.009259412816877685,0.016754343450234518,0.014261540499334858,0.010071116754795679,0.010044682541923658
2015-02-06,-0.0031580047700061065,-0.009130338158888513,0.0002505635647413161,0.007902150833181455,-0.0027692425370918674
2015-02-09,-0.0014606664027368517,-0.011820509101048435,0.0010018498441761899,-0.004983759000304875,-0.00448573459045299
