Date,avg_pairwise_corr,high_threshold,low_threshold,regime
2015-05-13,0.6116809237175714,0.670160604032936,0.3369576937675972,mid
2015-05-14,0.6006920949589613,0.670160604032936,0.3369576937675972,mid
2015-05-15,0.5956156224593147,0.670160604032936,0.3369576937675972,mid
2015-05-18,0.5981027055067342,0.670160604032936,0.3369576937675972,mid
2015-05-19,0.5784998883511806,0.670160604032936,0.3369576937675972,mid
2015-05-20,0.5764829324842463,0.670160604032936,0.3369576937675972,mid
2015-05-21,0.5733689239780654,0.670160604032936,0.3369576937675972,mid
2015-05-22,0.5725918083787329,0.670160604032936,0.3369576937675972,mid
2015-05-26,0.58573357403124,0.670160604032936,0.3369576937675972,mid
2015-05-27,0.575460656703663,0.670160604032936,0.3369576937675972,mid
2015-05-28,0.5630785398237897,0.670160604032936,0.3369576937675972,mid
2015-05-29,0.5658025529441532,0.670160604032936,0.3369576937675972,mid
2015-06-01,0.5669357361593733,0.670160604032936,0.3369576937675972,mid
2015-06-02,0.5632224424822574,0.670160604032936,0.3369576937675972,mid
2015-06-03,0.5600401194961778,0.670160604032936,0.3369576937675972,mid
2015-06-04,0.5679942588715401,0.670160604032936,0.3369576937675972,mid
2015-06-05,0.5741205877814951,0.670160604032936,0.3369576937675972,mid
2015-06-08,0.566029314801006,0.670160604032936,0.3369576937675972,mid
2015-06-09,0.5639282775020333,0.670160604032936,0.3369576937675972,mid
2015-06-10,0.581014453836778,0.670160604032936,0.3369576937675972,mid
2015-06-11,0.5716418832508406,0.670160604032936,0.3369576937675972,mid
2015-06-12,0.5664964854909499,0.670160604032936,0.3369576937675972,mid
2015-06-15,0.5671427910624589,0.670160604032936,0.3369576937675972,mid
2015-06-16,0.560143564610908,0.670160604032936,0.3369576937675972,mid
2015-06-17,0.5668302493375851,0.670160604032936,0.3369576937675972,mid
2015-06-18,0.5692873392511805,0.670160604032936,0.3369576937675972,mid
2015-06-19,0.5691979084580179,0.670160604032936,0.3369576937675972,mid
2015-06-22,0.5758877812023592,0.670160604032936,0.3369576937675972,mid
2015-06-23,0.5723104369842581,0.670160604032936,0.3369576937675972,mid
2015-06-24,0.5773450256059123,0.670160604032936,0.3369576937675972,mid
2015-06-25,0.5744851830668682,0.670160604032936,0.3369576937675972,mid
2015-06-26,0.5723609640836581,0.670160604032936,0.3369576937675972,mid
2015-06-29,0.6017808946020768,0.670160604032936,0.3369576937675972,mid
2015-06-30,0.6049722061131338,0.670160604032936,0.3369576937675972,mid
2015-07-01,0.5940481649627203,0.670160604032936,0.3369576937675972,mid
2015-07-02,0.5922362706554166,0.670160604032936,0.3369576937675972,mid
2015-07-06,0.5948247381383267,0.670160604032936,0.3369576937675972,mid
2015-07-07,0.6032597549420727,0.670160604032936,0.3369576937675972,mid
2015-07-08,0.6199024549684095,0.670160604032936,0.3369576937675972,mid
2015-07-09,0.6219318719026421,0.670160604032936,0.3369576937675972,mid
2015-07-10,0.6288396454769891,0.670160604032936,0.3369576937675972,mid
2015-07-13,0.6346096069923605,0.670160604032936,0.3369576937675972,mid
2015-07-14,0.6368291866625124,0.670160604032936,0.3369576937675972,mid
2015-07-15,0.6200503610307989,0.670160604032936,0.3369576937675972,mid
2015-07-16,0.6220113522798266,0.670160604032936,0.3369576937675972,mid
2015-07-17,0.5986280517473938,0.670160604032936,0.3369576937675972,mid
