Date,XLK,XLV,XLE,XLF,SPY
2015-01-02,18.084278106689453,57.0578498840332,25.548065185546875,16.2747859954834,170.1249542236328
2015-01-05,17.808216094970703,56.76686096191406,24.491193771362305,15.932581901550293,167.05259704589844
2015-01-06,17.5935001373291,56.57563400268555,24.131397247314453,15.689074516296387,165.4792022705078
2015-01-07,17.74248504638672,57.90583801269531,24.182790756225586,15.85360336303711,167.54115295410156
2015-01-08,18.132478713989258,58.89518356323242,24.725690841674805,16.09052085876465,170.51422119140625
2015-01-09,18.075504302978516,58.37144470214844,24.529741287231445,15.873348236083984,169.14781188964844
2015-01-12,17.865175247192383,58.39637756347656,23.82301902770996,15.741728782653809,167.82276916503906
2015-01-13,17.852033615112305,58.13863754272461,23.63348388671875,15.689074516296387,167.35073852539062
2015-01-14,17.75124168395996,58.04717254638672,23.707368850708008,15.46532917022705,166.34039306640625
2015-01-15,17.52338981628418,57.42362976074219,23.405405044555664,15.27447509765625,164.816650390625
2015-01-16,17.694284439086914,58.504459381103516,24.166736602783203,15.458745002746582,166.97802734375
2015-01-20,17.84326934814453,58.504459381103516,24.195650100708008,15.392934799194336,167.3341522216797
2015-01-21,17.87394142150879,58.62084197998047,24.687143325805664,15.43242073059082,168.17884826660156
2015-01-22,18.16753387451172,59.3192138671875,24.802783966064453,15.814122200012207,170.67987060546875
2015-01-23,18.163150787353516,58.97835159301758,24.626113891601562,15.643013000488281,169.74407958984375
2015-01-26,18.08865737915039,59.28594970703125,24.979469299316406,15.721982955932617,170.1415252685547
2015-01-27,17.567203521728516,58.8619384765625,24.963407516479492,15.550878524780273,167.8972930908203
2015-01-28,17.536537170410156,58.013912200927734,23.980419158935547,15.267895698547363,165.744140625
2015-01-29,17.703044891357422,58.504459381103516,24.060728073120117,15.392934799194336,167.2761688232422
2015-01-30,17.48395347595215,57.58992385864258,24.26953887939453,15.142863273620605,165.1726837158203
2015-02-02,17.66360855102539,57.91416931152344,25.01158905029297,15.3863525390625,167.21826171875
2015-02-03,17.865175247192383,58.304931640625,25.69584083557129,15.643013000488281,169.63638305664062
2015-02-04,17.900230407714844,57.57329559326172,25.27179718017578,15.603530883789062,168.99041748046875
2015-02-05,18.06674575805664,58.546024322509766,25.634794235229492,15.761469841003418,170.69642639160156
2015-02-06,18.009780883789062,58.013912200927734,25.641218185424805,15.886512756347656,170.22438049316406
2015-02-09,17.98349380493164,57.33219528198242,25.666919708251953,15.807535171508789,169.46250915527344
2015-02-10,18.250789642333984,58.296600341796875,25.654069900512695,15.932581901550293,171.26785278320312
2015-02-11,18.32089614868164,58.35480499267578,25.474180221557617,15.932581901550293,171.36720275878906
2015-02-12,18.5706729888916,58.56264877319336,25.808263778686523,16.09052085876465,173.0152130126953
2015-02-13,18.68898582458496,58.79542541503906,26.354368209838867,16.07735824584961,173.72744750976562
2015-02-17,18.6977481842041,59.21944808959961,26.434677124023438,16.130008697509766,174.00070190429688
2015-02-18,18.715272903442383,59.28594970703125,26.1198673248291,16.031291961669922,174.01731872558594
2015-02-19,18.7810001373291,59.385719299316406,25.997785568237305,15.965479850769043,173.8929901123047
2015-02-20,18.877408981323242,60.00924301147461,25.87250518798828,16.083942413330078,174.93649291992188
2015-02-23,18.890546798706055,60.28362274169922,25.766508102416992,16.04445457458496,174.9116973876953
2015-02-24,18.94752311706543,60.20879364013672,25.837173461914062,16.123430252075195,175.4085235595703
2015-02-25,18.829206466674805,60.18386459350586,25.978525161743164,16.123430252075195,175.2594757080078
2015-02-26,18.94752311706543,60.35011291503906,25.496658325195312,16.083942413330078,175.0524444580078
2015-02-27,18.881792068481445,60.05911636352539,25.384233474731445,16.02471351623535,174.4562225341797
2015-03-02,19.030771255493164,60.599544525146484,25.20755386352539,16.14316749572754,175.55758666992188
2015-03-03,18.903697967529297,60.050819396972656,25.30071449279785,16.09710121154785,174.837158203125
2015-03-04,18.829206466674805,60.34180450439453,25.265371322631836,15.998388290405273,174.10008239746094
2015-03-05,18.807294845581055,60.55795669555664,25.114397048950195,16.06420135498047,174.29055786132812
2015-03-06,18.575057983398438,59.36909103393555,24.66465187072754,15.945740699768066,171.83921813964844
2015-03-09,18.662691116333008,59.73491668701172,24.487979888916016,16.018131256103516,172.551513671875
2015-03-10,18.281461715698242,59.069801330566406,24.1474609375,15.675915718078613,169.75241088867188
