Date,corr_lag,vol_lag
2015-05-14,0.6116809237175714,0.12643158759547432
2015-05-15,0.6006920949589613,0.12362683945843132
2015-05-18,0.5956156224593147,0.12246013091147286
2015-05-19,0.5981027055067342,0.12095166771994947
2015-05-20,0.5784998883511806,0.11754235364975693
2015-05-21,0.5764829324842463,0.1166922322466208
2015-05-22,0.5733689239780654,0.1159018694512264
2015-05-26,0.5725918083787329,0.1158686508187661
2015-05-27,0.58573357403124,0.11690264029709815
2015-05-28,0.575460656703663,0.11665122924411342
2015-05-29,0.5630785398237897,0.11485660291669919
2015-06-01,0.5658025529441532,0.11539265953404022
2015-06-02,0.5669357361593733,0.11517302664262913
2015-06-03,0.5632224424822574,0.11266871535125046
2015-06-04,0.5600401194961778,0.11230370327578322
2015-06-05,0.5679942588715401,0.11322576798557142
2015-06-08,0.5741205877814951,0.1109552650913111
2015-06-09,0.566029314801006,0.10924091312113744
2015-06-10,0.5639282775020333,0.10825991789419052
2015-06-11,0.581014453836778,0.10768489854070032
2015-06-12,0.5716418832508406,0.10598349977265926
2015-06-15,0.5664964854909499,0.10428843525877217
2015-06-16,0.5671427910624589,0.10434480587760663
2015-06-17,0.560143564610908,0.10342017115280869
2015-06-18,0.5668302493375851,0.1033167134461966
2015-06-19,0.5692873392511805,0.10432826552442549
2015-06-22,0.5691979084580179,0.10324283709308267
2015-06-23,0.5758877812023592,0.10355001948454068
2015-06-24,0.5723104369842581,0.102387866445648
2015-06-25,0.5773450256059123,0.10294603870018759
2015-06-26,0.5744851830668682,0.10305301049921746
2015-06-29,0.5723609640836581,0.1030540687518996
2015-06-30,0.6017808946020768,0.10896464009170215
2015-07-01,0.6049722061131338,0.10854389001192384
2015-07-02,0.5940481649627203,0.10939149403906051
2015-07-06,0.5922362706554166,0.10928823795535088
2015-07-07,0.5948247381383267,0.10937549942993094
2015-07-08,0.6032597549420727,0.1098816544038001
2015-07-09,0.6199024549684095,0.11327687195370822
2015-07-10,0.6219318719026421,0.1127990703501778
2015-07-13,0.6288396454769891,0.11459339373909307
2015-07-14,0.6346096069923605,0.11584257663199522
2015-07-15,0.6368291866625124,0.1160468078329232
2015-07-16,0.6200503610307989,0.11353648941962453
2015-07-17,0.6220113522798266,0.11408417261133957
2015-07-20,0.5986280517473938,0.11058500706068013
2015-07-21,0.5976834376318542,0.11048116711229468
2015-07-22,0.6076853836752866,0.1088308596211165
2015-07-23,0.5962726055319861,0.1083425497320578
2015-07-24,0.5857090509334258,0.1066079168209832
2015-07-27,0.5907042983658398,0.1079395300333395
2015-07-28,0.5835838872578306,0.10652272136111776
2015-07-29,0.5944670496845744,0.1081933806238496
2015-07-30,0.5913342514219079,0.10780563743474808
2015-07-31,0.5909928994655501,0.10775210841049628
2015-08-03,0.5831554414070549,0.10735602650206116
2015-08-04,0.60272653246774,0.10456539242796914
2015-08-05,0.6028196344247367,0.10453740110987148
2015-08-06,0.6018946334204918,0.10460477992219161
2015-08-07,0.5681980834789353,0.10363077851284833
2015-08-10,0.5624294904712827,0.10261673816909339
2015-08-11,0.5752313507538466,0.10446909973322074
2015-08-12,0.5730821427094762,0.10547507533369183
2015-08-13,0.5632785316502092,0.10491578540757585
2015-08-14,0.562656788667084,0.10483825218733964
2015-08-17,0.5648105884212441,0.10486207908487845
2015-08-18,0.5645680512505393,0.10501205706652268
2015-08-19,0.565160703447757,0.10475068893403774
2015-08-20,0.5710690105257561,0.1053191772646368
2015-08-21,0.6020127540814453,0.11096842141318955
2015-08-24,0.6519919677508995,0.12160496335261485
2015-08-25,0.7153476438131596,0.14057462932207687
2015-08-26,0.7170732925005247,0.1406310913777108
2015-08-27,0.7520585130222924,0.15385717656714912
2015-08-28,0.7658045143295316,0.15947723764203306
2015-08-31,0.7572440802765338,0.15922052902286715
2015-09-01,0.7484740267647996,0.15962713452148478
2015-09-02,0.7657288528042149,0.16697183180396344
2015-09-03,0.7733922355211661,0.17011357082068362
2015-09-04,0.7708546421090109,0.17000246800958174
2015-09-08,0.776220394096003,0.17161013658763413
2015-09-09,0.78366113976003,0.176171631243596
2015-09-10,0.7861976167892255,0.17642380990974343
2015-09-11,0.7880215653972221,0.17662627450663684
2015-09-14,0.7853298857176457,0.17591484018734938
2015-09-15,0.7856261315518543,0.17589336109037504
2015-09-16,0.790623950913388,0.17706684174257672
2015-09-17,0.7836493758213859,0.17626320011809635
2015-09-18,0.7789676861386695,0.17614374084746184
2015-09-21,0.7843150032509668,0.17808858197764485
2015-09-22,0.7765712359856455,0.17834827130405995
2015-09-23,0.7775790620651849,0.17856352655579041
2015-09-24,0.7771981534622574,0.17853630764536338
2015-09-25,0.7742709114799395,0.17846273465305532
2015-09-28,0.758710300296961,0.17846350315262302
2015-09-29,0.7692836359216865,0.18303071185347658
2015-09-30,0.7686288330809233,0.1829230426680292
2015-10-01,0.7744099843231601,0.1858482136504749
2015-10-02,0.7721531976240096,0.18521773912430178
2015-10-05,0.770603829235274,0.186273787351098
2015-10-06,0.7704917781748084,0.18879683739130823
2015-10-07,0.7576063736491455,0.1886221950125412
2015-10-08,0.758450400500501,0.1891373610373525
2015-10-09,0.759363301048246,0.18979912211472091
2015-10-12,0.7591142421354857,0.18973657649023729
2015-10-13,0.7567361346504016,0.1892680965235138
2015-10-14,0.757736450305662,0.189515983772376
2015-10-15,0.7559399687926655,0.1894134503576118
2015-10-16,0.7596096469287321,0.19119023575505725
